brand,total_fragrances,qualified_fragrances,total_votes,R,Weighted_Rating,Consistency_Score
Louis Vuitton,58,52,56266,4.306,4.298,73.1
French Avenue,139,80,34019,4.285,4.273,73.8
Roja Dove,161,113,47019,4.229,4.222,81.4
Jean Paul Gaultier,172,116,225012,4.204,4.203,60.3
Initio Parfums Prives,25,22,51597,4.204,4.199,59.1
Valentino,70,64,107626,4.191,4.189,62.5
Clive Christian,91,52,21366,4.196,4.184,75.0
Rasasi,338,115,55473,4.187,4.182,56.5
Parfums de Marly,45,44,139397,4.174,4.172,52.3
Bujairami,35,3,846,4.433,4.167,66.7
Xerjoff,194,151,164723,4.165,4.164,64.9
Sospiro Perfumes,56,43,15450,4.177,4.163,58.1
Nishane,53,51,61875,4.164,4.161,58.8
Tauer Perfumes,43,37,25823,4.169,4.161,48.6
Thameen,48,31,9717,4.177,4.156,71.0
Chanel,151,138,447115,4.155,4.155,88.4
Creed,93,73,115040,4.154,4.152,57.5
Zaharoff,32,21,4406,4.188,4.146,76.2
Acqua di Parma,99,73,69101,4.141,4.139,74.0
WIDIAN,37,27,6915,4.16,4.136,74.1
Giorgio Armani,246,209,350220,4.136,4.136,69.9
Al Haramain Perfumes,332,102,41212,4.14,4.136,54.9
Indult,8,5,3244,4.187,4.136,40.0
Fragrance World,423,95,17789,4.144,4.135,75.8
Victoria's Secret,921,304,99181,4.136,4.134,81.6
Azzaro,104,92,83806,4.133,4.131,45.7
Houbigant,39,28,12190,4.137,4.125,71.4
Viktor&Rolf,104,49,86908,4.127,4.125,53.1
Yves Saint Laurent,275,216,378770,4.123,4.123,73.1
Lorenzo Pazzaglia,34,33,14372,4.133,4.123,69.7
Boadicea the Victorious,188,93,19942,4.129,4.122,67.7
Omanluxury,19,16,4692,4.147,4.118,75.0
Profumum Roma,46,40,24325,4.123,4.118,70.0
Caron,133,79,29264,4.121,4.117,69.6
Lattafa Perfumes,341,251,254379,4.118,4.117,58.2
Mona di Orio,31,22,10107,4.129,4.116,72.7
Guerlain,557,415,462150,4.112,4.112,71.3
Prada,99,85,151066,4.113,4.112,62.4
Perfumer H,46,8,1361,4.193,4.108,75.0
Lubin,46,31,9507,4.118,4.106,51.6
Comme des Garcons,105,87,52808,4.103,4.101,52.9
Dior,303,263,582667,4.098,4.098,74.5
Hermès,138,110,227192,4.098,4.098,64.5
Ojar,33,13,2246,4.135,4.095,46.2
Astier de Villatte,14,8,1062,4.173,4.092,75.0
Tom Ford,138,134,355223,4.087,4.087,67.9
Aesop,16,16,7228,4.095,4.085,56.2
Diptyque,102,87,101683,4.084,4.083,57.5
