brand,name,rating,votes,url,last_crawled,sex
M_Micallef,Crystal Silk Oil Neroli M. Micallef,5.0,1,https://www.fragrantica.com/perfume/M-Micallef/Crystal-Silk-Oil-Neroli-31943.html,2025-11-15T06:39:44.065006,unisex
Anfas,El Oud,5.0,1,https://www.fragrantica.com/perfume/Anfas/El-Oud-25415.html,2025-11-14T08:41:41.833933,unisex
Roja_Dove,Roja Dove Parfum Royale #5 Roja Dove,5.0,5,https://www.fragrantica.com/perfume/Roja-Dove/Roja-Dove-Parfum-Royale-5-51877.html,2025-11-07T09:08:52.531075,unisex
Guerlain,Une Rose,5.0,3,https://www.fragrantica.com/perfume/Guerlain/Une-Rose-75143.html,2025-11-12T12:06:27.542206,
M_Micallef,Indigo Magie M. Micallef,5.0,1,https://www.fragrantica.com/perfume/M-Micallef/Indigo-Magie-40279.html,2025-11-15T05:40:39.770689,
WIDIAN,Liwa Hair Mist,5.0,2,https://www.fragrantica.com/perfume/WIDIAN/Liwa-Hair-Mist-91743.html,2025-11-17T14:13:25.532982,unisex
WIDIAN,Black II Hair Mist,5.0,1,https://www.fragrantica.com/perfume/WIDIAN/Black-II-Hair-Mist-91742.html,2025-11-17T14:11:49.510726,unisex
M_Micallef,Art Collection Black M. Micallef,5.0,2,https://www.fragrantica.com/perfume/M-Micallef/Art-Collection-Black-44814.html,2025-11-14T22:25:30.783812,
M_Micallef,ShahNOOR M. Micallef,5.0,1,https://www.fragrantica.com/perfume/M-Micallef/ShahNOOR-70353.html,2025-11-14T22:40:56.699826,
Atelier_des_Ors,Lune Féline Extrait Gold Craftsmanship Limited Edition Atelier des Ors,5.0,1,https://www.fragrantica.com/perfume/Atelier-des-Ors/Lune-Feline-Extrait-Gold-Craftsmanship-Limited-Edition-118319.html,2025-11-17T15:51:04.447440,unisex
V_Canto,Arkano della Temperanza V Canto,5.0,1,https://www.fragrantica.com/perfume/V-Canto/Arkano-della-Temperanza-116538.html,2025-11-09T21:31:37.565423,unisex
Guerlain,Imperial Russe,5.0,4,https://www.fragrantica.com/perfume/Guerlain/Imperial-Russe-52442.html,2025-11-12T17:38:40.043915,unisex
M_Micallef,Art Collection Celebration Man M. Micallef,5.0,2,https://www.fragrantica.com/perfume/M-Micallef/Art-Collection-Celebration-Man-22171.html,2025-11-14T22:42:03.152044,
Yas_Perfumes,Love Yas Perfumes,5.0,1,https://www.fragrantica.com/perfume/Yas-Perfumes/Love-115310.html,2025-11-14T08:30:21.712033,unisex
Yas_Perfumes,Taj Yas Perfumes,5.0,1,https://www.fragrantica.com/perfume/Yas-Perfumes/Taj-115307.html,2025-11-14T08:28:56.898367,unisex
Spirit_Of_Kings,Delirious Spirit Of Kings,5.0,1,https://www.fragrantica.com/perfume/Spirit-Of-Kings/Delirious-102282.html,2025-11-21T15:55:19.852491,unisex
Thameen,Regal Musk,5.0,2,https://www.fragrantica.com/perfume/Thameen/Regal-Musk-94786.html,2025-11-19T19:42:54.974998,unisex
Spirit_Of_Kings,Emperor Spirit Of Kings,5.0,1,https://www.fragrantica.com/perfume/Spirit-Of-Kings/Emperor-102276.html,2025-11-21T15:54:54.718538,unisex
Yas_Perfumes,Best of Love Yas Perfumes,5.0,1,https://www.fragrantica.com/perfume/Yas-Perfumes/Best-of-Love-28264.html,2025-11-14T08:28:32.019549,
Le_Labo,Violette 30 Le Labo,5.0,1,https://www.fragrantica.com/perfume/Le-Labo/Violette-30-117822.html,2025-11-13T10:45:00.074560,unisex
Roja_Dove,Roja Dove Parfum Royale #4 Roja Dove,4.81,16,https://www.fragrantica.com/perfume/Roja-Dove/Roja-Dove-Parfum-Royale-4-51876.html,2025-11-07T10:03:16.140623,unisex
Dior,Hypnotic Poison Collector Rubis,4.81,26,https://www.fragrantica.com/perfume/Dior/Hypnotic-Poison-Collector-Rubis-65948.html,2025-11-12T09:53:57.409625,
Prada,Infusion de Rossetto,4.77,13,https://www.fragrantica.com/perfume/Prada/Infusion-de-Rossetto-45120.html,2025-11-14T11:52:22.377789,
Jean_Paul_Gaultier,Le Male Xmas Limited Edition 2021 Jean Paul Gaultier,4.76,17,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Xmas-Limited-Edition-2021-70255.html,2025-11-15T16:59:08.410058,
Guerlain,Mon Extrait,4.75,36,https://www.fragrantica.com/perfume/Guerlain/Mon-Guerlain-Extrait-58627.html,2025-11-12T17:01:44.128933,
Acqua_di_Parma,Colonia Artist Edition by Clym Evernden Acqua di Parma,4.75,4,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Artist-Edition-by-Clym-Evernden-52150.html,2025-11-11T21:05:23.420866,unisex
Yas_Perfumes,Musk Imperial and Yas Yas Perfumes,4.75,4,https://www.fragrantica.com/perfume/Yas-Perfumes/Musk-Imperial-and-Yas-28228.html,2025-11-14T08:27:55.047723,unisex
Guerlain,Vol de Nuit Extract,4.7,366,https://www.fragrantica.com/perfume/Guerlain/Vol-de-Nuit-Extract-33631.html,2025-11-12T18:16:17.587003,
